trip_id,request_time,pickup_zone,dropoff_zone,fare,status,driver_id,rider_id
264,2025-10-13 15:52:00,Russey Keo,Toul Kork,4.37,completed,84,7
265,2025-10-13 17:42:00,Toul Kork,Daun Penh,7.7,completed,89,230
266,2025-10-13 12:29:00,Russey Keo,Sen Sok,6.37,completed,79,156
267,2025-10-13 10:14:00,Sen Sok,Chamkarmon,4.37,cancelled_by_user,93,197
268,2025-10-13 21:02:00,Russey Keo,Daun Penh,9.9,cancelled_by_driver,72,223
269,2025-10-13 10:01:00,Chamkarmon,Russey Keo,1.71,cancelled_by_driver,37,250
270,2025-10-13 11:05:00,Russey Keo,Russey Keo,3.65,completed,49,83
271,2025-10-13 23:46:00,Daun Penh,Toul Kork,5.92,cancelled_by_user,52,240
272,2025-10-13 00:00:00,Russey Keo,Russey Keo,5.94,completed,33,263
273,2025-10-13 04:27:00,Chamkarmon,Daun Penh,6.51,cancelled_by_driver,22,189
274,2025-10-13 09:12:00,Chamkarmon,Russey Keo,7.89,completed,5,290
275,2025-10-13 22:22:00,Toul Kork,Daun Penh,6.8,completed,18,58
276,2025-10-13 01:40:00,Sen Sok,Chamkarmon,6.6,completed,38,9
277,2025-10-13 00:13:00,Russey Keo,Toul Kork,1.95,completed,37,115
278,2025-10-13 01:15:00,Toul Kork,Russey Keo,4.7,completed,94,210
279,2025-10-13 02:07:00,Sen Sok,Daun Penh,3.47,completed,95,41
280,2025-10-13 00:54:00,Russey Keo,Sen Sok,3.76,completed,64,173
281,2025-10-13 11:30:00,Daun Penh,Toul Kork,6.21,completed,10,234
282,2025-10-13 13:56:00,Russey Keo,Chamkarmon,3.2,completed,79,281
283,2025-10-13 06:31:00,Chamkarmon,Daun Penh,4.0,completed,42,78
284,2025-10-13 09:33:00,Chamkarmon,Chamkarmon,3.52,completed,48,108
285,2025-10-13 02:12:00,Daun Penh,Chamkarmon,9.56,completed,44,281
286,2025-10-13 08:04:00,Toul Kork,Russey Keo,9.53,completed,82,39
287,2025-10-13 12:32:00,Sen Sok,Russey Keo,6.68,cancelled_by_user,87,119
288,2025-10-13 17:34:00,Russey Keo,Daun Penh,9.36,cancelled_by_driver,97,27
289,2025-10-13 00:04:00,Chamkarmon,Sen Sok,8.18,completed,16,104
290,2025-10-13 11:12:00,Toul Kork,Daun Penh,6.51,cancelled_by_driver,54,74
291,2025-10-13 07:07:00,Daun Penh,Sen Sok,1.55,cancelled_by_driver,35,191
292,2025-10-13 20:28:00,Chamkarmon,Chamkarmon,8.07,cancelled_by_user,98,147
293,2025-10-13 17:10:00,Daun Penh,Toul Kork,7.47,completed,28,255
294,2025-10-13 14:08:00,Russey Keo,Daun Penh,6.73,completed,2,284
295,2025-10-13 06:39:00,Sen Sok,Daun Penh,7.96,completed,94,213
296,2025-10-13 21:50:00,Chamkarmon,Sen Sok,5.86,completed,13,123
297,2025-10-13 01:04:00,Chamkarmon,Chamkarmon,7.48,completed,41,206
298,2025-10-13 02:37:00,Russey Keo,Chamkarmon,9.45,completed,80,240
299,2025-10-13 09:23:00,Toul Kork,Sen Sok,4.69,cancelled_by_driver,59,286
300,2025-10-13 02:59:00,Sen Sok,Chamkarmon,7.52,cancelled_by_user,69,22
301,2025-10-13 22:57:00,Chamkarmon,Russey Keo,5.54,completed,92,259
302,2025-10-13 19:09:00,Sen Sok,Toul Kork,7.23,completed,53,105
303,2025-10-13 06:12:00,Chamkarmon,Daun Penh,7.98,completed,45,258
304,2025-10-13 14:07:00,Sen Sok,Toul Kork,1.89,cancelled_by_driver,20,204
305,2025-10-13 23:34:00,Daun Penh,Daun Penh,7.0,completed,24,262
306,2025-10-13 21:13:00,Chamkarmon,Russey Keo,3.43,completed,61,107
307,2025-10-13 14:25:00,Sen Sok,Chamkarmon,7.2,completed,91,251
308,2025-10-13 21:41:00,Toul Kork,Sen Sok,5.48,completed,94,221
309,2025-10-13 23:44:00,Daun Penh,Russey Keo,8.08,completed,58,222
310,2025-10-13 17:50:00,Daun Penh,Toul Kork,2.55,completed,27,258
311,2025-10-13 01:33:00,Toul Kork,Sen Sok,6.82,cancelled_by_driver,26,201
312,2025-10-13 09:38:00,Sen Sok,Chamkarmon,3.87,cancelled_by_user,7,258
313,2025-10-13 20:06:00,Russey Keo,Russey Keo,8.75,cancelled_by_user,42,225
314,2025-10-13 05:32:00,Toul Kork,Sen Sok,9.39,cancelled_by_user,47,202
315,2025-10-13 19:56:00,Sen Sok,Russey Keo,9.97,completed,53,226
316,2025-10-13 02:53:00,Toul Kork,Russey Keo,8.27,completed,59,236
317,2025-10-13 01:07:00,Toul Kork,Chamkarmon,7.91,completed,38,183
318,2025-10-13 09:13:00,Chamkarmon,Daun Penh,3.33,cancelled_by_user,69,200
319,2025-10-13 00:52:00,Sen Sok,Sen Sok,4.36,completed,87,246
320,2025-10-13 22:58:00,Russey Keo,Chamkarmon,5.46,completed,92,111
321,2025-10-13 19:49:00,Chamkarmon,Russey Keo,8.07,completed,98,6
322,2025-10-13 19:13:00,Toul Kork,Chamkarmon,9.28,completed,53,236
323,2025-10-13 15:06:00,Toul Kork,Daun Penh,3.11,completed,15,127
324,2025-10-13 05:11:00,Toul Kork,Sen Sok,9.34,completed,96,104
325,2025-10-13 12:26:00,Sen Sok,Daun Penh,7.41,completed,26,237
326,2025-10-13 14:20:00,Sen Sok,Toul Kork,6.69,completed,48,155
327,2025-10-13 12:36:00,Chamkarmon,Sen Sok,3.2,cancelled_by_driver,95,257
328,2025-10-13 06:14:00,Russey Keo,Daun Penh,1.97,completed,19,235
329,2025-10-13 12:21:00,Chamkarmon,Russey Keo,6.33,completed,9,289
330,2025-10-13 11:47:00,Daun Penh,Sen Sok,7.04,completed,64,40
331,2025-10-13 23:54:00,Toul Kork,Sen Sok,3.29,cancelled_by_driver,93,288
332,2025-10-13 21:32:00,Toul Kork,Chamkarmon,6.23,completed,54,197
